\\vanilla roadsTXT. Please ONLY use the roads you need for custom paths, because otherwise load times will be significantly increased and interactions between mods may cause errors and strange behaviour!
\\see here for node positions: https://docs.google.com/spreadsheets/d/1rKWC1aZMPbMLxb9Mx5QbHE-SLYjG2CAybgqgQ87b2eo/view
\\node_from-node_to|(x1,y1),(x2,y2),(x3,y3),(x4,y4),... [etc]
aqua_0-aqua_1|(-5.63246,4.023247),(-5.27444,3.786358),(-4.794637,3.66207),(-4.480614,3.4126),(-4.266215,2.954588)
aqua_1-aqua_2|(-4.327639,2.955914),(-5.816183,2.63445),(-5.938404,1.932682)
aqua_1-aqua_3|(-4.327639,2.998833),(-4.155473,2.344603),(-3.834404,1.823583)
aqua_1-aqua_4|(-4.408709,2.994064),(-3.423872,2.801466),(-2.861156,2.811003),(-2.21714,2.722792)
aqua_2-aqua_5|(-5.918405,2.003719),(-6.106715,1.362177),(-6.350415,0.4587172)
aqua_3-aqua_6|(-3.760679,1.885129),(-4.339769,1.50552),(-4.550182,0.9766431),(-4.540393,0.1385891)
aqua_3-aqua_7|(-3.897163,1.885129),(-3.341004,1.708577),(-3.244327,1.327558),(-2.753724,1.150163)
aqua_4-aqua_8|(-2.473573,2.745175),(-1.788947,2.51743),(-1.181251,2.033949)
aqua_5-aqua_6|(-6.423934,0.5165078),(-5.428967,0.4011614),(-4.436191,0.121344)
aqua_5-aqua_9|(-6.331134,0.5687072),(-6.624766,-0.06654659),(-6.588341,-0.8278024)
aqua_6-aqua_10|(-4.494187,0.2394388),(-4.823908,-0.3537548),(-4.891416,-1.0277)
aqua_6-aqua_11|(-4.592787,0.1930392),(-3.75892,-0.2379351),(-2.971973,-0.8223487)
aqua_7-aqua_6|(-2.729437,1.217275),(-3.543968,0.4927216),(-4.580006,0.1524863)
aqua_7-aqua_12|(-2.903435,1.217275),(-2.439403,0.8353167),(-2.120467,0.2093347)
aqua_7-aqua_37|(-2.949835,1.241005),(-2.724394,0.8880459),(-2.404595,0.513483)
aqua_8-aqua_12|(-1.131727,2.137688),(-1.61961,1.298399),(-1.567411,1.072201),(-1.944407,0.6720049),(-2.236996,0.2093347)
aqua_8-aqua_19|(-1.263145,2.113528),(-0.7505207,2.29092),(-0.4489236,2.27352),(0.2021588,1.70981),(0.2979684,1.409531),(0.2950546,1.111501)
aqua_8-aqua_22|(-1.320213,2.115395),(-0.7751061,2.283953),(-0.4155096,2.283953),(-0.6243076,2.823348),(-0.479309,3.159745),(0.3762129,3.308603)
aqua_9-aqua_13|(-6.575118,-0.7703754),(-7.092649,-1.183295),(-6.814413,-2.018004),(-6.194177,-2.85851),(-4.964833,-3.727007)
aqua_9-aqua_17|(-6.599016,-0.764928),(-7.126323,-1.249644),(-6.439147,-1.578932),(-5.360267,-1.930587),(-3.93067,-1.727651),(-2.778482,-1.493589),(-1.959287,-1.395),(-1.528828,-1.09607),(-0.667609,-0.8387094)
aqua_9-aqua_19|(-6.599016,-0.764928),(-7.126323,-1.249644),(-6.386991,-1.332757),(-5.437922,-1.749796),(-3.930648,-1.521513),(-2.146249,-1.041994),(-1.593313,-0.1195234),(-0.9997882,0.8094712),(-0.1095018,0.8481793),(0.3633562,1.168133)
aqua_10-aqua_13|(-4.930251,-0.9545712),(-4.724303,-1.752877),(-4.846537,-2.457519),(-5.285141,-2.773888),(-5.673413,-3.248443),(-5.522418,-3.557623),(-4.939052,-3.70597)
aqua_10-aqua_14|(-4.91587,-0.9401909),(-4.7002,-1.803208),(-4.599536,-2.428758),(-3.961094,-2.766211)
aqua_11-aqua_10|(-2.915993,-0.7706289),(-3.869782,-1.094484),(-4.329956,-1.015391),(-5.060883,-1.011963)
aqua_11-aqua_17|(-3.134926,-0.75142),(-2.258099,-0.7816771),(-0.623507,-0.8905578)
aqua_11-aqua_19|(-3.20269,-0.7973237),(-2.124524,-0.8405147),(-1.619583,-0.5257468),(-1.238466,-0.2256636),(-0.5113383,-0.0273644),(-0.1047631,0.3660954),(0.2522266,1.162123)
aqua_12-aqua_11|(-2.101003,0.3104429),(-2.771434,-0.01208731),(-3.053417,-0.3153522),(-3.056251,-0.8583859)
aqua_13-aqua_15|(-5.13253,-3.708868),(-3.997344,-3.748991),(-2.823757,-3.473489)
aqua_14-aqua_15|(-4.282136,-2.710373),(-3.558752,-2.971271),(-3.299123,-3.256863),(-2.810982,-3.508432)
aqua_15-aqua_16|(-3.02976,-3.47459),(-2.217938,-3.490983),(-1.657139,-3.387131),(-1.002593,-3.154872)
aqua_17-aqua_18|(-0.8925015,-0.890265),(-0.06318148,-0.701414),(0.4364589,-0.214585),(1.08159,-0.221776)
aqua_18-aqua_21|(0.8821527,-0.1573946),(1.255563,-0.5187004),(2.145949,-0.4162101),(3.017116,0.06421345),(3.356616,-0.1087391),(3.633891,0.1993046)
aqua_19-aqua_20|(0.1071265,1.129383),(0.2979685,0.9036534),(0.8936937,1.038172),(1.470202,0.9613043),(2.180239,0.683084)
aqua_19-aqua_24|(0.2032113,1.084544),(0.935856,1.450543),(1.704534,1.501788),(2.287448,1.950183),(2.594919,2.129541),(3.297515,2.170652)
aqua_20-aqua_21|(1.922301,0.7651073),(2.478136,0.4726944),(2.811229,0.370204),(3.01621,0.1267894),(3.693241,0.1184461)
aqua_21-aqua_31|(3.555082,0.1544823),(3.516649,-0.3259412),(3.184276,-1.102008),(2.652607,-1.755384),(2.481367,-2.591579)
aqua_22-aqua_23|(0.1281809,3.243572),(0.8412316,3.388875),(1.39202,3.362331),(2.283426,3.065588)
aqua_23-aqua_25|(1.969898,3.076385),(2.901532,3.183937),(3.658036,3.237025),(4.582711,2.949286)
aqua_24-aqua_25|(2.983825,2.171049),(3.469368,2.365484),(3.99292,2.717875),(4.548618,3.01267)
aqua_25-aqua_26|(4.370267,3.00967),(4.868976,2.640875),(5.165991,2.112288),(5.516537,1.650348)
aqua_25-aqua_27|(4.284687,2.974431),(5.159824,3.183219),(5.80923,3.520508),(6.488357,3.738109)
aqua_25-aqua_28|(4.470951,2.969397),(5.833023,2.872117),(6.724069,2.695921),(7.850623,2.403358)
aqua_26-aqua_21|(5.538018,1.793382),(4.94181,1.251238),(4.70188,0.9202987),(4.114462,0.5893593),(3.460663,0.08057687)
